	score
FBXW7	18.601782188415527
PRKCZ	18.593796586990358
MAP3K14	18.56239394187927
RAC3	18.556771154403688
RIPK3	18.552878198623656
XRCC1	18.546484365463257
EGFR	18.52575128555298
HLA-DQA2	18.500138034820555
PRKCE	18.478568849563597
HLA-DQB2	18.39621591567993
LRP1B	18.38829984664917
FAS	18.37906488418579
RAC2	18.366903371810913
PIK3R3	18.36382064819336
ERCC1	18.35653214454651
HLA-DQB1	18.354947872161866
HLA-DPA1	18.32511329650879
NGF	18.310310163497924
INS	18.269528379440306
VPS4A	18.246900815963745
ARL13B	18.223782072067262
INTS8	18.219789752960207
TGFA	18.21036739349365
ALOX15	18.184500703811647
MAP1LC3C	18.160708713531495
PDGFB	18.146205196380617
PRKCG	18.130604124069215
YWHAZ	18.108027839660643
JAK1	18.073991174697877
INTS1	18.067545337677004
KLB	18.05778141975403
EGR1	18.05508994102478
TRIM28	18.019083118438722
HLA-DPB1	18.001733903884887
H4C1	17.98438674926758
EYA2	17.9833451461792
PSME4	17.949225931167604
XRCC4	17.936115312576295
HLA-DQA1	17.917985315322877
NOTCH2	17.914730968475343
DCLRE1C	17.887500762939453
SUMO2	17.876013402938842
PSMA2	17.866234197616578
CREB5	17.814325637817383
POT1	17.811506004333495
HIF1A	17.80004229545593
PLCG1	17.7785031414032
INTS5	17.762159299850463
PCNA	17.761477756500245
FRS2	17.743484830856325
RNASE1	17.726003150939942
MAP1LC3A	17.714546241760253
PPARGC1A	17.644142932891846
MNAT1	17.63811262130737
SUPT5H	17.623436908721924
CREB3L3	17.610977602005004
ANK3	17.60261022567749
TRIB3	17.596990842819213
RYR3	17.577147245407104
HBB	17.576366987228393
INTS3	17.572154474258422
HCK	17.55535157203674
CREB3L2	17.5550252532959
PRKD1	17.547864065170288
MAP1LC3B	17.54351782798767
PSMA6	17.514329824447632
INTS6	17.51185619354248
NOS3	17.500758275985717
TYK2	17.484001207351685
VEGFB	17.48185306549072
FOXF1	17.475707693099977
SGK1	17.474995021820067
ELL2	17.463154916763305
