	score
TGFBR2	5.454316359758377
RACK1	5.438788956105709
COL25A1	5.437871998548507
RYR3	5.413214929103852
MTOR	5.41166747868061
COL11A1	5.4071556568145756
ERBB2	5.403484249114991
RCC2	5.402603596448898
PTMA	5.390534818768502
COL4A5	5.366765508651733
JAK1	5.362371797561646
RPL37	5.308882215023041
ARID1B	5.30151259303093
DYNC1H1	5.277692577838898
TPI1	5.272793768048286
PDE7B	5.271120420694351
TLL1	5.267131150364876
HERC1	5.257595497965813
PRPF8	5.255182862281799
TNS3	5.249054311513901
CSF2	5.247897170782089
MED13	5.235388320088386
MEIS1	5.2348820340633395
TAF1	5.2279947471618655
WASF2	5.221518572568893
DPYD	5.219743930101394
SPECC1	5.206033796072006
GOLGA4	5.18309028506279
NEGR1	5.178065125346183
CUL3	5.147199780941009
MT-ND4L	5.1410970085859296
RPS27	5.139597835540772
HSP90AA1	5.139584348201752
TFDP1	5.138616454601288
PDE1A	5.132596315145492
RYR1	5.122187945842743
FOXA1	5.10780104637146
XRCC6	5.096220765113831
VCAN	5.092313041687012
NR3C2	5.087346217632294
SFRP1	5.086144621372223
TP53BP1	5.0836794239282606
RPL32	5.083555915355682
RANBP2	5.073848325014114
SMARCC1	5.072705535292625
ARID2	5.072379138469696
EIF4G3	5.0685741996765135
STAT3	5.061182342767715
NR3C1	5.047652004957199
RPS29	5.044895205497742
RPL11	5.0410179674625395
EEF1G	5.036814205050469
TCF12	5.03546067237854
UBB	5.031651740074158
RICTOR	5.02951538324356
TPR	5.024782896637917
NFIB	5.016948348283767
SRCAP	5.015707907676696
CACNA2D1	5.01494989156723
NAP1L1	5.014457488059998
RPL19	5.012894424200058
TBX3	5.011408873200416
SBF2	5.009453070759773
COL4A4	4.988228687047958
FBN2	4.985422568321228
ASH1L	4.974492582082749
TANC1	4.972435116767883
NHS	4.966778239011765
EGFR	4.964754791855812
PTBP1	4.95257465839386
ZEB1	4.951232956051826
RPS24	4.950511972904206
ASXL1	4.946596517562866
CNOT1	4.941851465702057
RELN	4.9390669703483585
THRAP3	4.934195622205734
ITPR2	4.9231350708007815
PLCB1	4.91955087184906
HDAC4	4.917117502689361
XPO1	4.9169217717647555
NCOR2	4.914634245634079
DYNC2H1	4.910226855874061
ZNF462	4.90091889679432
NCOA3	4.89734258711338
DOCK4	4.877085126042366
UBE2E2	4.876229680776596
UST	4.854684753417969
AMER1	4.848466506004334
PPP3CA	4.84807727098465
IGF2R	4.8427148282527925
TBC1D4	4.84221730709076
FLNB	4.830063655376434
EYA4	4.810470675230026
DMXL2	4.807961199879646
RPS19	4.805345204472542
RPL6	4.797433208227158
NUP205	4.789106101989746
ENO1	4.776127176880837
CIT	4.770716269016265
THOC2	4.769638817310334
MKI67	4.7578964054584505
LAMA5	4.749495710134506
PTPRF	4.7425547325611115
POU5F1	4.733179827928543
ITGB1	4.726007732152939
QKI	4.72193877518177
TNC	4.719486331939697
TIAM2	4.715648480057716
FGF9	4.71289148569107
CENPF	4.712414271831513
RPL23A	4.703222885727882
MGA	4.7003725165128705
MAP1A	4.700112488269806
DIAPH2	4.696340837478638
PTPRD	4.6858019244670865
SERBP1	4.6857338887453075
LAMA3	4.674293152093887
MT-ND3	4.65618379086256
KRT8	4.647794127464294
IQGAP1	4.6465080732107165
UBE2D2	4.6255825048685075
SFPQ	4.623005266189575
POU2AF1	4.621785183548927
MT-ND2	4.614692403376102
PUM2	4.608397873640061
POLQ	4.604100731015206
NRIP1	4.601610089540482
YAP1	4.598846263885498
USP22	4.594826316833496
PUM1	4.592430366277695
NPM1	4.592006612718105
RTN4	4.590015097856521
SQSTM1	4.580580518841743
DNAH9	4.578982493877411
NCL	4.575753629505634
RASA1	4.55477564394474
LAMA1	4.550286966562271
VAV2	4.5482050383090975
MAGI2	4.543445113897324
RPS16	4.543372688293457
EXOC4	4.543256286382675
TUBA1A	4.5429834818840025
SH3BP5	4.539807895421982
TNXB	4.539204262495041
KRT80	4.528717180490494
ROR2	4.524869059324264
FGFR2	4.520987077951431
VCP	4.5197794568538665
PKP4	4.5181448024511335
MYH2	4.517861295938491
VIM	4.516029771566391
EFNA5	4.498688966035843
BPTF	4.497014979124069
DSP	4.496153154373169
ALMS1	4.4958969759941105
FASN	4.490599299669266
NUP210	4.490529174804688
COL12A1	4.488143798708916
SETX	4.478794692754746
EXT1	4.456034958362579
CNTLN	4.450564252734185
MPRIP	4.446787899732589
TCF3	4.444709578156472
PPP6R3	4.444318430423737
RPS12	4.443301509022713
EIF4A2	4.441710118055344
SNRNP200	4.436963933706283
TNPO1	4.433031173944474
RAPGEF6	4.429413176774979
SET	4.429267239570618
DNAH2	4.421148754358292
PC	4.420275726914406
TRIM28	4.420032723546028
AGR2	4.420000821948052
HNRNPU	4.418123179674149
NFE2L2	4.416485951542854
RPL30	4.409895878732204
NONO	4.405501570701599
KCNMA1	4.397313238978386
NUP214	4.392873499393463
ERBB3	4.390329627394676
STAT1	4.3854505610466
LDHA	4.382196653187275
LTF	4.381979618668556
NACA	4.374697301387787
PLCE1	4.366076070666313
TRERF1	4.363125260472298
CKAP5	4.35952801823616
ATR	4.353180563449859
SIK3	4.351078993082046
LAMA4	4.349710077047348
ZFR	4.339162351489067
HLA-DRA	4.336567350029945
SOS1	4.336455198526383
TJP1	4.336403322219849
HS6ST3	4.33274999588728
KIF1B	4.3276320791244505
HLA-DPA1	4.325816071033477
XPO6	4.325499376058579
USP48	4.325207285284996
LRRC7	4.313090568780899
GNGT1	4.3002016746997835
STMN1	4.29209586918354
GALNT2	4.289206990003586
CDC42BPA	4.285706053972245
TRAPPC9	4.282472616434097
SLC7A11	4.279763017892837
CHD1	4.277559013962746
RPLP2	4.2690373057127
SRSF1	4.268402084112167
RPL18	4.268226589262485
TUB	4.268019728660583
SNRPN	4.267717689275742
UBE2D3	4.266293977499008
DICER1	4.264338762164116
WWOX	4.257440851628781
NIN	4.253217526674271
WIPF1	4.2527547252178195
HIVEP2	4.252342783808708
PPP2R2B	4.252069059610367
MYH10	4.249327574968338
ALB	4.248402393460274
CAND1	4.245079207420349
RPS27A	4.242298780083656
YWHAG	4.235397439002991
RPS6KA2	4.235272215008735
TNS1	4.235113213658333
KMT2E	4.2339281451702115
GATA2	4.224765731692314
PKD1	4.224295375347137
DNAH1	4.221566069126129
CDH23	4.218855268955231
TAOK1	4.2087562650442125
SMC4	4.207918607592583
PCBP1	4.206901552677155
RPL10	4.206217389106751
POLA1	4.199295863211155
RPSA	4.197985642552376
CDK5RAP2	4.186852093935013
RAI1	4.181351325511932
UBA1	4.180505741536617
LAMC1	4.179461626410484
IPO5	4.177565022706985
SLC25A3	4.1771344769001
MT-ND1	4.173073583841324
LTBP1	4.168132157921791
SLC3A2	4.162744359374046
MARCKSL1	4.162377382516861
LAMC3	4.158294122219086
ITGAV	4.151535163521767
ASPH	4.151224089264869
GLI2	4.150100204944611
LAMB1	4.148089306354523
PLCG2	4.135027359724045
DOT1L	4.13431218624115
CHRDL1	4.133893116116524
USP32	4.131204545497894
HNRNPH1	4.130731801390648
TPX2	4.129361960887909
MYO9A	4.127829674482346
LSP1	4.1253168690204625
SAE1	4.123370560407639
BDP1	4.11859115421772
COL5A3	4.118026731014251
DNMT3A	4.11111601114273
PDS5B	4.109169733524323
MAPK1	4.1057819855213165
SALL4	4.101594293713569
TBCD	4.0947621321678165
NRXN3	4.093965594768524
YWHAQ	4.09145792901516
CEP350	4.086436305642128
PPP2R1A	4.0765886956453325
TPM1	4.076443213820458
MAP2K4	4.074920760393143
PARP1	4.074505103826523
ERCC2	4.073476349711418
LRP6	4.066958290934562
RPL28	4.066298593282699
PREX1	4.064880959391594
CEP192	4.063029286861419
RXRA	4.060059057474136
RPS11	4.056451846957207
MDK	4.04966982036829
MARCO	4.047806455492974
EPHA3	4.042718012928963
RAPGEF1	4.04238067150116
HTT	4.041850907802582
SERPINH1	4.039951869845391
WDR33	4.037266920208931
RBM39	4.032290173768997
TFRC	4.029845274090767
DOCK2	4.0200000804662706
ROCK2	4.017862984538079
DSCAM	4.017132444381714
CREB3L2	4.010936245918274
SLC2A1	4.00830874979496
ERC1	4.006218865513802
CHD3	4.0039721977710725
FN1	4.002334778904915
EPHA5	3.9969182908535004
SH3RF1	3.994596238732338
CTNNA1	3.983549775481224
PDS5A	3.9786008536815642
GLS	3.97756510078907
FTL	3.974640410542488
KDR	3.9744793730974197
PTPRZ1	3.9692211925983427
DOCK1	3.9660350370407103
THBS1	3.964893672168255
MBNL1	3.9623672568798067
RPL35	3.9596900233626364
SIN3A	3.9570849496126175
BRCA2	3.9529730570316315
KEAP1	3.952633838057518
DYSF	3.9475226366519927
DDB2	3.947094962000847
PCDH9	3.944627226293087
CPS1	3.944031071662903
NUP98	3.942956603169441
RPS5	3.9419829803705215
HSPD1	3.9328134834766386
SMC1A	3.926820611357689
TG	3.924662438631058
POM121	3.9245348274707794
PGK1	3.9223278704285622
P4HB	3.9200493448972704
ILF3	3.918525955080986
TGFBR3	3.917481793761253
DHX9	3.914318298101425
TUBB6	3.9139165902137756
SLIT2	3.9117579364776613
ZNF207	3.9096656858921053
CUL1	3.9090325063467026
HDLBP	3.9038054436445235
GON4L	3.9019547390937803
RPL10A	3.900556138753891
FREM2	3.899662064909935
DDX17	3.8991071832180024
TOP1	3.894346632361412
COL14A1	3.892126744389534
RPL36	3.8891539171338083
PPP1R16B	3.882779341340065
RABGAP1	3.880217393040657
SSBP3	3.8733940148353576
SKI	3.87273048222065
RAB1B	3.867141765356064
RASAL2	3.8652762567996977
PRKCE	3.8597553807497023
GRIK2	3.8567158526182173
DLG1	3.856047284603119
RAN	3.855354044139385
MLLT10	3.8537850332260133
CDK12	3.85120291531086
EIF4G1	3.8488163459300995
MYL6	3.846613222956657
CTTNBP2	3.846021023988724
WWTR1	3.8424355125427248
HLA-DRB1	3.8402417862415312
PDE3B	3.8394344112277032
FANCM	3.837624582052231
DNAH7	3.8301438230276106
SLC22A3	3.828822385072708
TGFBI	3.8252131325006484
CLTC	3.822415871620178
IRX1	3.820786259174347
SRPK2	3.8190626341104505
TNKS	3.8150741600990297
ATP6V0A4	3.810374214053154
TUBB2B	3.808047791719437
DIDO1	3.8049766969680787
POLR2A	3.8035455679893495
SF3B3	3.803399624824524
UBAP2L	3.801767727136612
SEC31A	3.798882690668106
PCDHB6	3.7982369089126586
NOTCH3	3.7976633530855177
DLG2	3.784116364121437
COL1A2	3.7749516552686693
GNG4	3.7733145821094514
SEPTIN2	3.7732469992339612
RAC1	3.7709009420871733
MDC1	3.7682308572530747
LCK	3.767356204986572
CDH9	3.76717049241066
RPS15A	3.7645862403512003
MCM7	3.7637084370851515
TUBB4B	3.7597009590268136
TFDP2	3.7594547206163407
RPL7A	3.758836414813995
OGDH	3.754827315211296
KAT6B	3.754316812157631
ZFYVE26	3.7530958145856856
HNRNPL	3.7465463066101075
HECW1	3.7454761868715285
RBBP4	3.744782347679138
KRT7	3.743797407746315
RHOBTB3	3.742536142766476
PTK2B	3.7398492658138274
LMO7	3.7397970765829087
PTPRB	3.728051768541336
RPS25	3.7275794774293898
UBE4B	3.7269763407111167
SUMO2	3.7225005170702934
DNMT1	3.720241004228592
IGF2BP1	3.7184304356575013
PLXNA3	3.7173695266246796
PCBP2	3.708797725141048
POLE	3.706215816140175
SLC16A1	3.7000454887747765
MED1	3.6992112010717393
SOX4	3.6941643631458283
MUC5B	3.689814524650574
RIMS1	3.689036080241203
KRT4	3.6864329874515533
SEMA6D	3.6833808934688568
KAT6A	3.6805599626898764
CDKN2A	3.674018116593361
LIN28A	3.6713270685076713
MT-ATP8	3.6712010037899017
NSD2	3.6676258145272733
HIVEP3	3.665252761244774
MLLT3	3.6606449139118196
SZT2	3.6599083632230758
U2AF2	3.659150680303574
MS4A1	3.655561355352402
H3-3A	3.653710490092635
CHD8	3.645679824948311
COL7A1	3.6436304116249083
SSBP2	3.643507634997368
NOLC1	3.6418761134147646
KIF1A	3.6412526315450666
CYP17A1	3.633917962908745
MRPS27	3.6337913566827775
SI	3.6325580739974974
SH3PXD2A	3.6291266012191774
HECW2	3.6258048176765443
PPIA	3.62282074958086
TRAF3	3.6226705366373064
TMBIM6	3.620722920745611
PCDH7	3.620184942483902
PDLIM5	3.619269509911537
TRAF2	3.608728639781475
RAD51B	3.600859159529209
PSPC1	3.594299818575382
ROCK1	3.594021765589714
ARFGEF1	3.5911889815330507
ZNF638	3.585701692700386
PLXNA4	3.574449474811554
PHF20	3.5720696368813516
MKNK2	3.5710934299230574
PRKG1	3.5596963226795197
VDR	3.5588469064235686
SUPT16H	3.5568783795833587
NELL2	3.5549741452932357
KCNQ5	3.553260532617569
EPS15	3.552764078974724
IRF4	3.5418340212106703
HLA-DRB5	3.541829696893692
SMC3	3.535248739719391
EIF4B	3.5351910746097563
RDX	3.53499986410141
MYPN	3.5311191201210024
ASAP1	3.529584459066391
MYOF	3.527156061530113
RPL29	3.523537077009678
FLRT2	3.5231148159503936
TNS4	3.5196898606419564
HLA-C	3.519406196475029
PRKD1	3.518270223736763
EML4	3.5180689400434493
HNRNPUL1	3.515564088821411
MECOM	3.512593744546175
FOXN3	3.508570632338524
UCHL1	3.5073988145589827
ADAM12	3.505771440267563
PHC1	3.5041055625677107
CDKN1B	3.5037847888469695
EIF4A1	3.4932485330104828
SYNCRIP	3.4893260657787324
C3	3.4888896536827088
WNK2	3.4873030641674996
PCF11	3.4858996760845185
KAZN	3.485033685863018
EP400	3.4831194949150084
SMURF1	3.4816315227746966
ATAD2	3.4810550916194916
PLA2R1	3.47989963889122
TBL1X	3.4796751525998117
SMCHD1	3.4783016526699067
PPFIA2	3.4752237713336944
TNKS1BP1	3.474519637823105
GNB1	3.472609469294548
TUSC3	3.472095446884632
HLA-F	3.47051273226738
CALD1	3.469225294589996
FBLN1	3.467021706700325
F11R	3.465483453273773
DNMBP	3.4652933818101883
WAC	3.465141087770462
LCP1	3.4620515072345732
TGFB1	3.460352427959442
TCERG1	3.4575801950693132
DLG5	3.4529281812906265
YY1	3.4508841681480407
ADAMTSL3	3.450628452897072
MAGI3	3.450035080909729
DCHS1	3.4494458389282228
BMPR1A	3.4472461158037184
SNCA	3.443711607456207
TFAP2A	3.4409434074163436
OXCT1	3.4385538026690483
WDR70	3.4371809965372084
SMAD6	3.4337411883473394
FUT9	3.43108632683754
CDK6	3.4284404212236406
DOCK3	3.424932020306587
IRAK1	3.4241709971427916
GTF2IRD1	3.423435075879097
PCDH10	3.4212689387798307
IL6ST	3.419615430831909
KDM3B	3.4194393491744997
MATR3	3.4186813953518866
SPARC	3.4179434263706208
MYLK	3.41780393242836
HLA-E	3.4169563907384872
FGFR1	3.4162342023849486
SMARCB1	3.4159258460998534
SMARCD1	3.414924373328686
HLA-DQA1	3.412636787891388
MRTFA	3.4104253591597082
VWF	3.4097819942235947
DNM1	3.407051875591278
PTPN13	3.406848363876343
SMG7	3.4026601043343545
TRIM33	3.4013975712656976
HNRNPK	3.398342668414116
COL4A2	3.3982050085067748
PLXNA2	3.3970018941164017
IL1RAPL1	3.3930980628728866
NCOA2	3.391775050163269
LRRFIP1	3.388220065832138
F8	3.3874400436878203
EZR	3.385784205198288
CBLB	3.384765060544014
RARA	3.384483363032341
MGAT5B	3.383447723388672
FUS	3.38211211681366
TPD52	3.3753187084197998
RBBP6	3.3740079301595687
CACNA1D	3.3696637386083603
E2F3	3.3685732662677763
EIF5A	3.366886001825333
IGF2BP2	3.366426593065262
CDH11	3.3659055268764497
ETS1	3.3611072927713392
YEATS2	3.3585425648093223
RPS18	3.3584637701511384
JAZF1	3.3574928891658784
COL4A3	3.3559267038106917
DDX5	3.354347175359726
SPG7	3.3540343889594078
STAT5B	3.3526293513178826
GPHN	3.351781037449837
ZCCHC7	3.34824329033494
HMGB1	3.347174080014229
MSN	3.3457446134090425
OGT	3.3456388974189757
SH3PXD2B	3.3424932277202606
DCAF6	3.3379662573337554
SRSF2	3.337586242556572
GOLGB1	3.3356574070453644
WLS	3.3332404485344886
HMGA2	3.3275753432512283
NFIC	3.3245964485406874
PLXNA1	3.3243434488773347
PAICS	3.3238202521204947
VDAC1	3.3231768390536307
SRSF11	3.32014605358243
PRDM16	3.319845839738846
SNRPB	3.316904909014702
TLN2	3.314942891001701
EHMT1	3.3121643048524856
SH3KBP1	3.3091551840305327
NPAS2	3.3085971194505692
ITGA11	3.3085093516111375
DYRK1A	3.3071436142921447
UBE2R2	3.3064450839161874
COP1	3.305428301393986
RBFOX2	3.305074345767498
CDH2	3.301211566925049
SLITRK5	3.3011277329921724
DNAH14	3.2946739542484282
PSIP1	3.2928465378284453
CSDE1	3.292293860912323
ACVR2A	3.290379549264908
UBE2K	3.2895859336853026
SMARCA1	3.288581904768944
RC3H1	3.28804137468338
FXR1	3.286841556429863
EFEMP1	3.282644896507263
FGFR4	3.281235921382904
PTPRS	3.2750097674131395
TIAM1	3.2732114034891127
SRGAP1	3.2730123010277747
GRIK5	3.271929172873497
XPO7	3.270702387094498
BAZ1B	3.2696657359600065
KIF13A	3.267892915010452
SRRM1	3.267602512538433
ZFPM2	3.2641630178689955
CUBN	3.262881060242653
RPS4Y1	3.262696964740753
NLGN1	3.2600986695289613
MBD5	3.257053032517433
GATAD2B	3.2569097566604612
PELI2	3.2568865031003953
MT-ND6	3.2550460359454156
TXNIP	3.254480022788048
HOXA9	3.2531251275539397
ITGB3	3.252872166633606
WNT5A	3.2521085005998613
DGKD	3.251659386754036
RFX7	3.2507051771879194
COL6A2	3.247099987268448
PIKFYVE	3.246779561638832
SUPT6H	3.2434904459118843
RAD21	3.2422178539633753
UBA52	3.242055280804634
CELSR2	3.241715570092201
PTMS	3.2384594053030016
MEF2C	3.236841698884964
RTN3	3.2352951741218567
UNC5C	3.2343133652210234
DOCK7	3.233598988056183
PLXND1	3.232607622742653
CHD9	3.232355688214302
PCK1	3.2304225355386733
SMARCE1	3.230304400920868
ZNF521	3.2291024816036225
SH3D19	3.2289277455210685
ACTB	3.228697131872177
PTPN21	3.22772416472435
SUCLG2	3.227165767997503
RPL35A	3.2247881308197974
UBE2H	3.223581472337246
TDGF1	3.2215197297930716
DGKI	3.2200421500205993
USP34	3.2192166656255723
MARCHF6	3.217159827947617
RBL1	3.2130612325668335
PAFAH1B1	3.2128835728764535
PCOLCE2	3.2105903059244154
CA1	3.2097199082374575
NTRK3	3.209618725180626
RRM2	3.209320501089096
MDM2	3.209254303574562
TLE3	3.2076057916879654
KIF16B	3.2050453275442123
SNAP25	3.2020345652103424
VTI1A	3.2014997506141665
PLA2G4A	3.2013816899061203
USP7	3.200700851678848
RAD23B	3.195562504827976
SPATA5	3.1912866485118867
EPHA2	3.1905334049463274
COL3A1	3.1891360878944397
INPPL1	3.1883549135923386
GSE1	3.1835713240504266
IKBKB	3.1813266295194627
PRIM2	3.1801733973622324
LMNA	3.178286146521568
FYN	3.1742273324728014
NUCKS1	3.1738381722569464
IGFBP5	3.173787921667099
TNIK	3.172952835559845
TSC1	3.1721426808834075
MTHFD1L	3.1702046862244604
ADCY8	3.169240216016769
SOX2	3.1684304678440096
ABCA1	3.167655804157257
VIPR2	3.164862704873085
SMG6	3.1625953498482704
STAG3	3.1621843057870866
BACH1	3.161174095869064
PTPRC	3.1605526280403136
PIK3CD	3.1598971623182295
LMNB1	3.159682173728943
SF1	3.1594478568434714
PLCB4	3.1590072721242906
PSAP	3.158735836446285
GSTP1	3.1563088926672935
DOCK5	3.1558752638101577
CELSR1	3.155376423597336
NRXN1	3.1533125281333922
UBAC2	3.153201084733009
EPHB2	3.152304081916809
SMARCC2	3.1480734115839004
CTBP2	3.1458093041181563
UTP20	3.1457809656858444
HRG	3.1441621285676957
ZFYVE16	3.1435537981987
SLC25A5	3.1432032182812693
FNBP1	3.1424431979656218
KDM5A	3.142242655158043
SEC16A	3.138820567429066
MAD1L1	3.138472170829773
UPF1	3.138228495121002
KPNB1	3.134566820859909
INPP5B	3.1338998931646347
SEC24C	3.13232140481472
MTUS1	3.132202575802803
HNRNPD	3.1279146283864976
HNRNPR	3.1274499928951265
LILRA4	3.1267904943227767
HNRNPF	3.1211356890201567
IQGAP2	3.1196834594011307
HIP1	3.1193302094936373
MAN1C1	3.1168987625837326
COL5A2	3.1157469862699507
ITSN2	3.1157331597805022
TRIM2	3.114594237804413
PAPPA	3.114216381907463
SMARCA2	3.1134269899129867
CLIP1	3.111011607646942
PIGR	3.1103831964731214
TNFRSF10B	3.10856847345829
AQR	3.1071773201227186
NEDD4L	3.105458606481552
ASXL2	3.104366833567619
RAB7A	3.099248295426369
RNF216	3.098335390686989
PPL	3.096826308965683
RPS15	3.0960558542609213
EHBP1	3.095267267227173
PPP1R12B	3.0943448877334596
EBF1	3.0913975262641906
EPHA7	3.0900398761034014
THSD7A	3.086082184910774
GJA1	3.0833526253700256
ACTN2	3.078894123136997
UGP2	3.0787473639845846
SUPT3H	3.0736850854754447
SCARB1	3.0723931682109833
HDAC2	3.0704220932722093
PPARGC1A	3.0669782841205597
CCDC88A	3.0644649451971055
ALOX5	3.0629837960004807
RBM5	3.05978302359581
ITGA3	3.0548072057962417
MARK3	3.0519980132579803
ZNF423	3.0516612380743027
ARHGEF10	3.0500160998106
EDIL3	3.0487410122156144
MIF	3.047714202105999
SRSF4	3.0476766046881676
MAML3	3.045714263319969
CPT1A	3.0403405714035032
GAB2	3.040090511441231
KLHL13	3.03834607064724
SLIT3	3.0357537031173707
